臺灣 Taiwan,#genre#
CNN(備用),http://193.24.209.91/Smart.php?id=cnn_twn
DW (Deutsch),http://193.24.209.91/Smart.php?id=dw_twn
Fox News,http://193.24.209.91/Smart.php?id=foxnews_twn
France 24,http://193.24.209.91/Smart.php?id=france24_twn
NHK World,http://193.24.209.91/Smart.php?id=nhkworld_japan
Skynews,http://193.24.209.91/Smart.php?id=skynews_antik
東森財經新聞,http://193.24.209.91/Smart.php?id=ettvcaijing_twn
兒童 Kids,#genre#
Animax,http://193.24.209.91/Smart.php?id=Animax
Baby TV Eng,http://193.24.209.91/Smart.php?id=Babytv
Baby TV,http://193.24.209.91/Smart.php?id=babytv_twn
Boomerang Taiwan,http://193.24.209.91/Smart.php?id=boomerang_twn
Boomerang,http://193.24.209.91/Smart.php?id=Boomerang
CBeebies,http://193.24.209.91/Smart.php?id=Cbeebies
Cartoon Network,http://193.24.209.91/Smart.php?id=Cn
Disney Taiwan,http://193.24.209.91/Smart.php?id=disneytwn_twn
Kids TV,http://193.24.209.91/Smart.php?id=KidsTV
MiaoMi,http://193.24.209.91/Smart.php?id=MiaoMi
Momo TV,http://193.24.209.91/Smart.php?id=momo1_twn
Nick Jr,http://193.24.209.91/Smart.php?id=Nickjr
Nickelodeon,http://193.24.209.91/Smart.php?id=Nickelodeon
東森幼幼,http://193.24.209.91/Smart.php?id=yoyo_twn
靖天卡通台,http://193.24.209.91/Smart.php?id=jingtiancartoon_twn
泰國 Thailand,#genre#
Amarin,http://193.24.209.91/Smart.php?id=amarin_pat
Ch 8,http://193.24.209.91/Smart.php?id=ch8_pat
Channel 3 Thailand,http://193.24.209.91/Smart.php?id=ch3_pat
Channel 5 Thailand,http://193.24.209.91/Smart.php?id=ch5_pat
Channel 7 Thailand,http://193.24.209.91/Smart.php?id=ch7_pat
Gmm Channel,http://193.24.209.91/Smart.php?id=gmmchannel_pat
GmmOne,http://193.24.209.91/Smart.php?id=gmmone_pat
MCOT HD Thailand-1,http://193.24.209.91/Smart.php?id=mcot_pat
Mono,http://193.24.209.91/Smart.php?id=mono_pat
Nation,http://193.24.209.91/Smart.php?id=nation_pat
Nbt,http://193.24.209.91/Smart.php?id=nbt_pat
New,http://193.24.209.91/Smart.php?id=new_pat
PPTV Thailand1,http://193.24.209.91/Smart.php?id=pptv_pat
TPTV,http://193.24.209.91/Smart.php?id=tptv_pat
Thai Thai,http://193.24.209.91/Smart.php?id=thaithai_pat
Thairath,http://193.24.209.91/Smart.php?id=thairath_pat
Tnn24,http://193.24.209.91/Smart.php?id=tnn24_pat
Workpoint,http://193.24.209.91/Smart.php?id=workpoint_pat
tpbs,http://193.24.209.91/Smart.php?id=tpbs_pat
英國 United Kingdom,#genre#
Al-Jazeera,http://193.24.209.91/Smart.php?id=aljazeera_twn
Animal Planet (Eng),http://193.24.209.91/Smart.php?id=AnimalPlanet
Axn HD,http://193.24.209.91/Smart.php?id=Axn
BBC 1,http://193.24.209.91/Smart.php?id=bbc1_antik
BBC 2,http://193.24.209.91/Smart.php?id=bbc2_antik
BBC Earth HD,http://193.24.209.91/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,http://193.24.209.91/Smart.php?id=bbclifestyle_twn
BBC World News,http://193.24.209.91/Smart.php?id=bbcworldnews_antik
Bloomberg News,http://193.24.209.91/Smart.php?id=bloomberg_twn
Boomerang,http://193.24.209.91/Smart.php?id=Boomerang
CBBC,http://193.24.209.91/Smart.php?id=cbbc_antik
CBeebies,http://193.24.209.91/Smart.php?id=Cbeebies
CGTN,http://193.24.209.91/Smart.php?id=CGTN
CNBC,http://193.24.209.91/Smart.php?id=cnbc_twn
Channel 4,http://193.24.209.91/Smart.php?id=channel4_antik
DW (Deutsch),http://193.24.209.91/Smart.php?id=dw_twn
Euronews,http://193.24.209.91/Smart.php?id=euronews_antik
France 24,http://193.24.209.91/Smart.php?id=france24_twn
Freesports,http://193.24.209.91/Smart.php?id=freesports_antik
HBO HD,http://193.24.209.91/Smart.php?id=Hbo
HGTV,http://193.24.209.91/Smart.php?id=HGTV
History,http://193.24.209.91/Smart.php?id=History
Hits Movie,http://193.24.209.91/Smart.php?id=Hitsmovie
Kids TV,http://193.24.209.91/Smart.php?id=KidsTV
MTV Live,http://193.24.209.91/Smart.php?id=mtvhd_twn
More4,http://193.24.209.91/Smart.php?id=more4_antik
NHK World,http://193.24.209.91/Smart.php?id=nhkworld_japan
NatGeo HD,http://193.24.209.91/Smart.php?id=Natgeo
NatGeo Wild HD,http://193.24.209.91/Smart.php?id=Natgeowild
Nick Jr,http://193.24.209.91/Smart.php?id=Nickjr
Nickelodeon,http://193.24.209.91/Smart.php?id=Nickelodeon
Pick TV,http://193.24.209.91/Smart.php?id=picktv_antik
Skynews,http://193.24.209.91/Smart.php?id=skynews_antik
Skysports Arena,http://193.24.209.91/Smart.php?id=tiankongarena
Skysports Cricket,http://193.24.209.91/Smart.php?id=tiankongcricket
Skysports EPL,http://193.24.209.91/Smart.php?id=tiankongepl
Skysports F1,http://193.24.209.91/Smart.php?id=tiankongf1
Skysports Football,http://193.24.209.91/Smart.php?id=tiankongfootball
Skysports Golf,http://193.24.209.91/Smart.php?id=tiankonggolf
Skysports Main Event,http://193.24.209.91/Smart.php?id=tiankongmain
Skysports News,http://193.24.209.91/Smart.php?id=tiankongnews
Star Movies HD,http://193.24.209.91/Smart.php?id=starmovies_raj
TLC,http://193.24.209.91/Smart.php?id=Tlc
Thrill,http://193.24.209.91/Smart.php?id=Thrill
Warner TV,http://193.24.209.91/Smart.php?id=WarnerTV
itv 1,http://193.24.209.91/Smart.php?id=itv1_antik
itv 2,http://193.24.209.91/Smart.php?id=itv2_antik
越南 Vietnam,#genre#
ANTV,http://193.24.209.91/Smart.php?id=viet_antv
BPTV 2,http://193.24.209.91/Smart.php?id=viet_bptv2
BRT HD,http://193.24.209.91/Smart.php?id=viet_brt
Ca Mau TV,http://193.24.209.91/Smart.php?id=viet_camautv
Danang TV1 HD,http://193.24.209.91/Smart.php?id=viet_danangtv1
Danang TV2 HD,http://193.24.209.91/Smart.php?id=viet_danangtv2
HBTV HD,http://193.24.209.91/Smart.php?id=viet_hbtv
HTV 7,http://193.24.209.91/Smart.php?id=viet_htv7
HTV 9,http://193.24.209.91/Smart.php?id=viet_htv9
PTTH 1,http://193.24.209.91/Smart.php?id=viet_ptth1
VTV 1,http://193.24.209.91/Smart.php?id=viet_vtv1
VTV 7,http://193.24.209.91/Smart.php?id=viet_vtv7
韓國 Korea,#genre#
All the Kpop,http://193.24.209.91/Smart.php?id=allthekpop_korea
Apps TV,http://193.24.209.91/Smart.php?id=appongoogle_korea
Arirang HD,http://193.24.209.91/Smart.php?id=arirang_korea
CBS,http://193.24.209.91/Smart.php?id=cbs_korea
CGNTV,http://193.24.209.91/Smart.php?id=cgntv_korea
EBS 1,http://193.24.209.91/Smart.php?id=ebs1_korea
EBS Kids,http://193.24.209.91/Smart.php?id=ebskids_korea
EBS Plus2,http://193.24.209.91/Smart.php?id=ebsplus2_korea
EBS2,http://193.24.209.91/Smart.php?id=ebs2_korea
J the Kpop,http://193.24.209.91/Smart.php?id=jthekpop_korea
KBS World 24,http://193.24.209.91/Smart.php?id=kbsworld24_korea
SBS Plus,http://193.24.209.91/Smart.php?id=sbsplus_korea
YTN DMB,http://193.24.209.91/Smart.php?id=ytndmb_korea
YTN Korean,http://193.24.209.91/Smart.php?id=ytnkorean_korea
YTN Science,http://193.24.209.91/Smart.php?id=ytnscience_korea
YTN,http://193.24.209.91/Smart.php?id=ytn_korea
Yonhap News,http://193.24.209.91/Smart.php?id=yonhapnews_korea
日本 Japan,#genre#
BS-TBS,http://193.24.209.91/Smart.php?id=bstbs_japan
BSジャパン 181,http://193.24.209.91/Smart.php?id=bs181_japan
BSフジ BS Fuji,http://193.24.209.91/Smart.php?id=bsfuji_japan
CNA Japan,http://193.24.209.91/Smart.php?id=cna_japan
JET 綜合,http://193.24.209.91/Smart.php?id=jettv_japan
NHK Oaska,http://193.24.209.91/Smart.php?id=nhkosaka_japan
NHK World,http://193.24.209.91/Smart.php?id=nhkworld_japan
NHK-E,http://193.24.209.91/Smart.php?id=nhke_japan
NHK-総合-2,http://193.24.209.91/Smart.php?id=nhkg_japan
NHKBS1,http://193.24.209.91/Smart.php?id=nhkbs1_japan
NHKBSプレミア Premium,http://193.24.209.91/Smart.php?id=nhkpremium_japan
TOKYOMX,http://193.24.209.91/Smart.php?id=tokyomx_japan
テレビ朝日 Asahi TV,http://193.24.209.91/Smart.php?id=asahitv_japan
テレビ東京 Tokyo TV,http://193.24.209.91/Smart.php?id=tokyotv_japan
