台灣,#genre#
TVBS歡樂,https://www.4gtv.tv/channel/4gtv-4gtv068?set=1&ch=184
TVBS綜藝,https://www.4gtv.tv/channel/4gtv-live087?set=4&ch=284
TVBS精采,https://www.4gtv.tv/channel/4gtv-4gtv067?set=1&ch=227
TVBS台劇,https://www.4gtv.tv/channel/4gtv-live088?set=4&ch=285
CI,https://www.4gtv.tv/channel/4gtv-live027?set=1&ch=215
幸福空間居家台,https://www.4gtv.tv/channel/4gtv-live206?set=1&ch=168
LOVE NATURE,https://www.4gtv.tv/channel/4gtv-live208?set=1&ch=139
HISTORY,,https://www.4gtv.tv/channel/4gtv-live026?set=1&ch=214
LIFETIME,https://www.4gtv.tv/channel/4gtv-live029?set=1&ch=217
MTV Live,https://www.4gtv.tv/channel/4gtv-live025?set=1&ch=213
MEZZOLIVEHD,https://www.4gtv.tv/channel/4gtv-4gtv083?set=1&ch=79
視納華仁紀實,https://www.4gtv.tv/channel/4gtv-4gtv013?set=1&ch=38
影迷數位紀實,https://www.4gtv.tv/channel/4gtv-live023?set=1&ch=212
客家電視,https://www.4gtv.tv/channel/4gtv-4gtv043?set=1&ch=107
